##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
355DESC;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;The disorder in France has become too big - We need to sweep clean the nation of anti-German sentiments.;X
355A;We will defeat France - again!;We will defeat France - again!;We will defeat France - again!;We will defeat France - again!;We will defeat France - again!;We will defeat France - again!;We will defeat France - again!;We will defeat France - again!;We will defeat France - again!;We will defeat France - again!;X
356NAME;We have defeated France - Again!;We have defeated France - Again!;We have defeated France - Again!;We have defeated France - Again!;We have defeated France - Again!;We have defeated France - Again!;We have defeated France - Again!;We have defeated France - Again!;We have defeated France - Again!;We have defeated France - Again!;X
356DESC;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;We have taken Paris, and have brought stability trough German arms! Which demands will France face now?;X
356A;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;Put the Pro-German elements in power, with our support.;X
356B;We will destroy France for once and for all!;We will destroy France for once and for all!;We will destroy France for once and for all!;We will destroy France for once and for all!;We will destroy France for once and for all!;We will destroy France for once and for all!;We will destroy France for once and for all!;We will destroy France for once and for all!;We will destroy France for once and for all!;We will destroy France for once and for all!;X
357NAME;Renewed negotiations with Germany;Renewed negotiations with Germany;Renewed negotiations with Germany;Renewed negotiations with Germany;Renewed negotiations with Germany;Renewed negotiations with Germany;Renewed negotiations with Germany;Renewed negotiations with Germany;Renewed negotiations with Germany;Renewed negotiations with Germany;X
357DESC;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;The current limitations put on us by the Armistice at Compiègne were never meant to be permanent. With a new government in place within France, it's about time we invite Germany to negotiate a more lasting and fairer treaty.;X
357A;Let's keep the current Armistice terms!;Let's keep the current Armistice terms;Let's keep the current Armistice terms;Let's keep the current Armistice terms;Let's keep the current Armistice terms;Let's keep the current Armistice terms;Let's keep the current Armistice terms;Let's keep the current Armistice terms;Let's keep the current Armistice terms;Let's keep the current Armistice terms;X
357B;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;Let's invite Germany for negotiations!;X
357C;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;Let's start neglecting the Armistice terms right away!;X
358NAME;Renewed negotiations with France;Renewed negotiations with France;Renewed negotiations with France;Renewed negotiations with France;Renewed negotiations with France;Renewed negotiations with France;Renewed negotiations with France;Renewed negotiations with France;Renewed negotiations with France;Renewed negotiations with France;X
358DESC;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;The new leadership in France has invited us to discuss a more lasting follow-up to the Armistice at Compiègne, signed in 1940 after the Fall of France. We can either start the negotiations (and keep either current terms, or more lenient ones) , or refuse their envoys right away.;X
